key,scientificName,phylum,class,decimalLatitude,decimalLongitude,eventDate,taxon_group
3444763856,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-28,"Elasmobranchii (sharks & rays, class)"
3444763914,"Negaprion acutidens (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-08,"Elasmobranchii (sharks & rays, class)"
3444764036,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-01,"Elasmobranchii (sharks & rays, class)"
3444764085,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-01,"Elasmobranchii (sharks & rays, class)"
3444766431,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-07,"Elasmobranchii (sharks & rays, class)"
3444766432,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-25,"Elasmobranchii (sharks & rays, class)"
3444766442,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-18,"Elasmobranchii (sharks & rays, class)"
3444766463,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-13,"Elasmobranchii (sharks & rays, class)"
3444766464,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-31,"Elasmobranchii (sharks & rays, class)"
3444766505,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.71,2011-01-28,"Elasmobranchii (sharks & rays, class)"
3444766542,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-25,"Elasmobranchii (sharks & rays, class)"
3444766847,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-24,"Elasmobranchii (sharks & rays, class)"
3444767040,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-16,"Elasmobranchii (sharks & rays, class)"
3444767085,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-16,"Elasmobranchii (sharks & rays, class)"
3444767393,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-09,"Elasmobranchii (sharks & rays, class)"
3444767394,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-27,"Elasmobranchii (sharks & rays, class)"
3444767423,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-15,"Elasmobranchii (sharks & rays, class)"
3444767505,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-09,"Elasmobranchii (sharks & rays, class)"
3444767697,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-02,"Elasmobranchii (sharks & rays, class)"
3444767774,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.73,2011-01-19,"Elasmobranchii (sharks & rays, class)"
3444767800,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-08,"Elasmobranchii (sharks & rays, class)"
3444767838,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-07,"Elasmobranchii (sharks & rays, class)"
3444767839,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-25,"Elasmobranchii (sharks & rays, class)"
3444767990,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-18,"Elasmobranchii (sharks & rays, class)"
3444768033,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-18,"Elasmobranchii (sharks & rays, class)"
3444768416,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-11,"Elasmobranchii (sharks & rays, class)"
3444768427,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-22,"Elasmobranchii (sharks & rays, class)"
3444768445,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-18,"Elasmobranchii (sharks & rays, class)"
3444768492,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.73,2011-01-30,"Elasmobranchii (sharks & rays, class)"
3444768728,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-05,"Elasmobranchii (sharks & rays, class)"
3444768729,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-23,"Elasmobranchii (sharks & rays, class)"
3444768834,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-10,"Elasmobranchii (sharks & rays, class)"
3444768835,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-29,"Elasmobranchii (sharks & rays, class)"
3444768868,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-28,"Elasmobranchii (sharks & rays, class)"
3444769024,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-02,"Elasmobranchii (sharks & rays, class)"
3444769076,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-02,"Elasmobranchii (sharks & rays, class)"
